Name,Price,Ingredients,Product_Link,Category,Rating,Total_Reviews
PIXI Hydrating Milky Mist 80ml,£16.00,"Water, Glycerin, Ethylhexyl Palmitate, Dipropylene Glycol, Cetyl Ethylhexanoate, Phenoxyethanol, Polyglyceryl-10 Oleate, Ethylhexylglycerin, PEG-60 Hydrogenated Castor Oil, Cetearyl Isononanoate, Allantoin, Ceteareth-20, Trideceth-10, Hydrolyzed Glycosaminoglycans, Hydrogenated Lecithin, Glyceryl Stearate, Ceteareth-12, Cetyl Alcohol, Stearyl Alcohol, Cetyl Palmitate, Disodium EDTA, Fragrance, Citric Acid, Benzoic Acid, Lecithin, Avena Strigosa Seed Extract.",https://www.lookfantastic.com/pixi-hydrating-milky-mist-80ml/11200054.html,Mists,4.7,87 Reviews
ESPA Hydrating Floral Spa Fresh Tonic 200ml,£27.00,"Aqua (Water), Polysorbate 20, Glycerin, Alcohol Denat., Phenoxyethanol, Citrus Aurantium Amara (Bitter Orange) Flower Water, Rosa Damascena Flower Water, Allantoin, Ethylhexylglycerin, Honey Extract, Lonicera Caprifolium (Honeysuckle) Flower Extract, Fragrance* (Parfum), Limonene, Lonicera Japonica (Honeysuckle) Flower Extract, Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Pelargonium Graveolens Oil, Linalool, Geraniol, Citric Acid, Sodium Benzoate, Benzoic Acid, Potassium Sorbate, Dehydroacetic Acid, Sodium Hydroxide. *100% Natural Fragrance. ",https://www.lookfantastic.com/espa-hydrating-floral-spa-fresh-tonic/12226485.html,Mists,4.65,26 Reviews
Elizabeth Arden Eight Hour Miracle Hydrating Mist 100ml,£19.20,,https://www.lookfantastic.com/elizabeth-arden-eight-hour-miracle-hydrating-mist-100ml/11423685.html,Mists,4.48,27 Reviews
Dr.Jart+ Cicapair Tiger Grass Calming Mist 50ml,£19.50,"Aqua, Dipropylene Glycol, Butylene Glycol,, Eryngium Maritimum Callus Culture Filtrate,, Niacinamide, Pentylene Glycol, Houttuynia, Cordata Extract, Ilex Aquifolium Leaf Extract,, Achillea Millefolium Oil, 1,2-Hexanediol,, Erythritol, Chondrus Crispus Extract, C12-14, Sec-Pareth-12, Saccharum Officinarum, Extract, Streptococcus Thermophilus, Ferment, Panthenol, Caprylyl Glycol, Parfum,, Ethylhexylglycerin, Lavandula Angustifolia Oil,, Adenosine, Glycerin, Diphenyl Dimethicone,, DNA, Citrus Aurantium Bergamia Fruit Oil,, Carbomer, Triethylhexanoin, Linalool,, Tromethamine, Disodium EDTA, Limonene,, Melia Azadirachta Leaf Extract, Hydrogenated, Lecithin, Hedera Helix Extract, Melia, Azadirachta Flower Extract, Madecassoside,, Tocopherol, Asiatic Acid, Asiaticoside,, Madecassic Acid, Calcium Chloride, Centella, Asiatica Extract, Magnesium Sulfate, Aqua, Dipropylene Glycol, Butylene Glycol,, Eryngium Maritimum Callus Culture Filtrate,, Niacinamide, Pentylene Glycol, Houttuynia, Cordata Extract, Ilex Aquifolium Leaf Extract,, Achillea Millefolium Oil, 1,2-Hexanediol,, Erythritol, Chondrus Crispus Extract, C12-14, Sec-Pareth-12, Saccharum Officinarum, Extract, Streptococcus Thermophilus, Ferment, Panthenol, Caprylyl Glycol, Parfum,, Ethylhexylglycerin, Lavandula Angustifolia Oil,, Adenosine, Glycerin, Diphenyl Dimethicone,, DNA, Citrus Aurantium Bergamia Fruit Oil,, Carbomer, Triethylhexanoin, Linalool,, Tromethamine, Disodium EDTA, Limonene,, Melia Azadirachta Leaf Extract, Hydrogenated, Lecithin, Hedera Helix Extract, Melia, Azadirachta Flower Extract, Madecassoside,, Tocopherol, Asiatic Acid, Asiaticoside,, Madecassic Acid, Calcium Chloride, Centella, Asiatica Extract, Magnesium Sulfate.",https://www.lookfantastic.com/dr.jart-cicapair-tiger-grass-calming-mist-50ml/12435219.html,Mists,4.1,21 Reviews
Natura Bissé Tolerance Toner 200ml,£50.00,"Water (Aqua), Glycerin, Propylene Glycol, PEG-6 Caprylic/Capric Glycerides, Sambucus Nigra Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Camellia Sinensis Leaf Extract, Arginine, Ethylhexylglycerin, Pentylene Glycol, Urea, Lactic Acid, Sodium Lactate, Serine, Sorbitol, Allantoin, Sodium Chloride, PEG-40 Hydrogenated Castor Oil, Disodium EDTA, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Fragrance (Parfum), Flavor (Aroma), Caramel.",https://www.lookfantastic.com/natura-bisse-tolerance-toner-200ml/11329120.html,Mists,4.0,2 Reviews
Shiseido Invisible Protective Mist 150ml,£41.00,,https://www.lookfantastic.com/shiseido-invisible-protective-mist-150ml/12093466.html,Mists,5.0,4 Reviews
Avant Skincare PH Balancing & Brightening Rose Infusion Day Mist 30ml,£80.00,Aqua (Water) Citric Acid Disodium Phosphate Ethylhexylglycerin Glycerin Hexyl Cinnamal Laurtrimonium Chloride Limonene Methyl 2-Octynoate Parfum (Fragrance) Peg/Ppg-20/6 Dimethicone Phenoxyethanol Propanediol Rosa Hybrid Flower Extract Sodium Hyaluronate Sodium Phosphate Vp/Va Copolymer.,https://www.lookfantastic.com/avant-skincare-ph-balancing-brightening-rose-infusion-day-mist-30ml/11975758.html,Mists,,
Aveda Botanical Kinetics Toning Mist 150ml,£21.00,,https://www.lookfantastic.com/aveda-botanical-kinetics-toning-mist-150ml/10541412.html,Mists,4.39,18 Reviews
PIXI Sun Mist,£18.00,"Disiloxane, Water/Aqua/Eau, Alcohol, Cyclopentasiloxane, C12-15 Alkyl Benzoate, Diethylamino Hydroxybenzoyl Hexyl Benzoate,Cetyl PEG/PPG-10/1 Dimethicone,Butylene Glycol, Dicaprylyl Carbonate, Phenoxyethanol, Stearic Acid, Sodium Chloride, Aluminum Hydroxide, Polyhydroxystearic Acid, Aluminum Stearate, Dipropylene Glycol, Disodium EDTA, Jasminum Officinale (Jasmine) Oil,Aloe Barbadensis Leaf Extract, Portulaca Oleracea Extract, Anthemis Nobilis Flower Extract, Bambusa Vulgaris Extract, Tocopherol.",https://www.lookfantastic.com/pixi-sun-mist/11384922.html,Mists,3.6,15 Reviews
Lierac Hydragenist Morning Moisturizing Mist,£29.00,,https://www.lookfantastic.com/lierac-hydragenist-morning-moisturizing-mist/11975024.html,Mists,5.0,1 Reviews
