Name,Price,Ingredients,Product_Link,Category,Rating,Total_Reviews
"La Roche-Posay Effaclar Purifying Foaming Gel Cleanser for Oily, Blemish-Prone Skin 400ml",£24.00,"Aqua / Water, Sodium Laureth Sulfate, Peg-8, Coco-Betaine, Hexylene Glycol, Sodium Chloride, Peg-12 Methyl Glucose Dioleate, Zinc Pca, Sodium Hydroxide, Caprylyl Glycol, Citric Acid, Sodium Benzoate, Phenoxyethanol, Parfum / Fragrance.",https://www.lookfantastic.com/la-roche-posay-effaclar-purifying-foaming-gel-cleanser-for-oily-blemish-prone-skin-400ml/11434754.html,Toners,4.58,303 Reviews
Revolution Skincare 5% Caffeine + Hyaluronic Acid Targeted Under Eye Serum,£5.60,"Aqua/Water/Eau, Propanediol, Caffeine, Glycerin, Butylene Glycol, Sodium Benzoate, Phenoxyethanol, Xanthan Gum, Ethylhexylglycerin, Disodium Edta, Sodium Hyaluronate.",https://www.lookfantastic.com/revolution-skincare-5-caffeine-hyaluronic-acid-targeted-under-eye-serum/12589085.html,Toners,4.18,80 Reviews
Caudalie Grape Water 200ml,£15.00,"Vitis Vinifera (Grape) Fruit Water*, Vitis Vinifera (Grape) Juice*, Nitrogen. (P00613v01/02) *Origine Végétale - Plant Origin",https://www.lookfantastic.com/caudalie-grape-water-200ml/12743430.html,Toners,4.87,92 Reviews
Medik8 Daily Refresh Balancing Toner 150ml,£17.00,"Aqua (Water), Niacinamide, Glycerin, Inulin, Alpha-Glucan Oligosaccharide, Allantoin, Butylene Glycol, Aloe Barbadensis (Aloe Vera) Leaf Juice, Phenoxyethanol, Anthemis Nobilis (Chamomile) Flower Water, Rosmarinus Officinalis (Rosemary) Water, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Potassium Sorbate, Sodium Benzoate, Ethylhexylglycerin, 1,2-Hexanediol, Beta-Glucan, Caprylyl Glycol.",https://www.lookfantastic.com/medik8-daily-refresh-balancing-toner-150ml/11795614.html,Toners,4.56,108 Reviews
Medik8 Liquid Peptides 30ml,£49.00,"Aqua (Water), Glycerin, Butylene Glycol, Inulin, Sodium Hyaluronate, Panthenol, Alpha-Glucan Oligosaccharide, Carnosine, Carbomer, Polysorbate 20, Caprylyl Glycol, Phenoxyethanol, Hydroxypropyl Cyclodextrin, Dunaliella Salina (Green Algae) Extract, Ethylhexylglycerin, Citric Acid, Palmitoyl Tripeptide-5, Sodium Benzoate, Acetyl Hexapeptide-8, Tetrapeptide-21, Pentapeptide-18, Palmitoyl Tripeptide-1, Pantolactone, Palmitoyl Tripeptide-38, Palmitoyl Tetrapeptide-7, Glyceryl Caprylate, Lactic Acid/Glycolic Acid Copolymer, Polyvinyl Alcohol, Phenylpropanol, Copper Palmitoyl Heptapeptide-14, Heptapeptide-15 Palmitate, Potassium Sorbate, Xanthan Gum.",https://www.lookfantastic.com/medik8-liquid-peptides-30ml/12309458.html,Toners,4.65,131 Reviews
La Roche-Posay Serozinc (150ml),£11.50,"Aqua/Water, Sodium Chloride, Zinc Sulphate.",https://www.lookfantastic.com/la-roche-posay-serozinc-150ml/11094705.html,Toners,4.6,175 Reviews
The INKEY List Glycolic Acid Toner 100ml,£13.00,"Aqua (Water/ Eau), Glycolic Acid, Propanediol, Hamamelis Virginiana (Witch Hazel) Water, Sodium Hydroxide, Butylene Glycol, Phenoxyethanol, Alcohol, PPG-26-Buteth-26, Betaine, PEG-40 Hydrogenated Castor Oil, Boerhavia Diffusa Root Extract, Ethylhexylglycerin, Trisodium, Ethylenediamine Disuccinate.",https://www.lookfantastic.com/the-inkey-list-glycolic-acid-toner-100ml/14272889.html,Toners,4.65,17 Reviews
Kiehl's Ultra Facial Toner 250ml,£22.50," - Apricot Kernel Oil is extracted from apricot kernels and has a very high Vitamin E content (aiding fast absorption) and is a trygliceride composed of 75% oleic acid and 20% linoleic acid, and unsaturated fatty acids esterfied with glycerin - similar to avocado oil and sesame oil. Found to be highly compatible with the skin. Apricot Kernel Oil moisturizes and softens skin while helping retain clarity and suppleness.",https://www.lookfantastic.com/kiehl-s-ultra-facial-toner-250ml/10356159.html,Toners,4.74,38 Reviews
Tan-Luxe Super Glow Hyaluronic Self-Tan Serum 30ml,£25.20,"Aqua (Water), Glycerin, Dihydroxyacetone, Hydrolyzed Soybean Fiber, Hyaluronic Acid, Beta Vulgaris (Beet) Root Extract, Brassica Oleracea Acephala Leaf Extract, Sodium Hyaluronate, Rubus Idaeus (Raspberry) Seed Oil, Cocos Nucifera (Coconut) Oil, Persea Gratissima (Avocado) Oil, Salvia Hispanica Seed Oil, Vaccinium Myrtillus Fruit Extract, Theobroma Cacao (Cocoa) Seed Extract, Aloe Barbadensis (Aloe) Leaf Juice, Tocopheryl Acetate (Vitamin E Acetate), Ascorbic Acid, Retinyl Acetate, Erythrulose, Cyclopentasiloxane, Hydroxyethylcellulose, Polyacrylamide, C13-14 Isoparaffin, Glyceryl Acrylate/Acrylic Acid Copolymer, Dimethicone Crosspolymer, Dimethicone, PVM/MA Copolymer, Laureth-7, Laureth-23, Laureth-4, Butylene Glycol, Ethylhexylglycerin, Parfum (Fragrance), Limonene, Geraniol, Hexyl Cinnamal, Benzyl Salicylate, Tetrasodium EDTA, Citric Acid, Phenoxyethanol, Triethylene Glycol, Potassium Sorbate, CI 17200 (D&C Red No. 33).",https://www.lookfantastic.com/tan-luxe-super-glow-hyaluronic-self-tan-serum-30ml/12143485.html,Toners,4.48,133 Reviews
Elizabeth Arden Eight Hour Cream Skin Protectant 50ml,£22.40,"Petrolatum, Lanolin, Mineral Oil/Paraffinum, Liquidum/Huile Minerale, Caprylyl Glycol, Glycine Soja,(Soybean) Oil, Parfum/Fragrance, Ricinus Communis (Castor) Seed Oil, Salicylic Acid, Tocopherol, Zea Mays (Corn) Oil,Bht, Citral, Citronellol, Geraniol, Limonene, Linalool, Phenoxyethanol, Iron Oxides (Ci 77491, Ci 77492).",https://www.lookfantastic.com/elizabeth-arden-eight-hour-cream-skin-protectant-50ml/10026014.html,Toners,4.79,270 Reviews
