Name,Price,Ingredients,Product_Link,Category,Rating,Total_Reviews
NUXE Huile Prodigieuse Multi-Purpose Dry Oil 100ml,£32.00,"Coco-Caprylate/Caprate, Macadamia Integrifolia Seed Oil, Dicaprylyl Ether, Caprylic/Capric Triglyceride, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Corylus Avellana (Hazel) Seed Oil, Camellia Oleifera Seed Oil, Parfum/Fragrance, Camellia Japonica Seed Oil, Tocopherol, Argania Spinosa Kernel Oil, Borago Officinalis Seed Oil, Tocopheryl Acetate, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Polyglyceryl-3 Diisostearate, Ascorbic Acid, Solanum Lycopersicum (Tomato) Fruit Extract, Benzyl Salicylate, Linalool, Limonene, Citronellol, Geraniol, Benzyl Alcohol [N2212/A].",https://www.lookfantastic.com/nuxe-huile-prodigieuse-multi-purpose-dry-oil-100ml/11401780.html,Oils,4.6,98 Reviews
The Ordinary 100% Organic Cold-Pressed Argan Oil 30ml,£7.40,Argania Spinosa Kernel Oil,https://www.lookfantastic.com/the-ordinary-100-organic-cold-pressed-argan-oil-30ml/11382030.html,Oils,4.37,126 Reviews
ESPA Optimal Skin Cleansing Oil 200ml,£27.20,"Prunus Armeniaca (Apricot) Kernel Oil, Peg-7 Glyceryl Cocoate, Sorbitan Oleate, Polysorbate 85, Coffea Arabica (Coffee) Seed Oil, Cucurbita Pepo (Pumpkin) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Olea Europaea (Olive) Fruit Oil, Polysorbate 20, Echium Plantagineum Seed Oil, Sorbitan Sesquioleate, Tocopherol, Limonene, Linoleic Acid, Citrus Aurantium Dulcis (Orange) Peel Oil, Myrtus Communis Leaf Extract, Olea Europaea (Olive) Leaf Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Oleic Acid, Helianthus Annuus (Sunflower) Seed Oil, Palmitic Acid, Aqua/Water/Eau, Stearic Acid, Fragrance* (Parfum), Linalool, Caprylic/Capric Triglyceride, Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil, Cymbopogon Nardus (Citronella) Oil, Moringa Oleifera Seed Oil, Jasminum Officinale (Jasmine) Flower Extract, Linolenic Acid, Litsea Cubeba Fruit Oil, Rosa Centifolia Flower Extract, Citrus Aurantium Amara (Bitter Orange) Flower Oil, Rosa Damascena Flower Oil. Prunus Armeniaca (Apricot) Kernel Oil, Peg-7 Glyceryl Cocoate, Sorbitan Oleate, Polysorbate 85, Coffea Arabica (Coffee) Seed Oil, Cucurbita Pepo (Pumpkin) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Olea Europaea (Olive) Fruit Oil, Polysorbate 20, Echium Plantagineum Seed Oil, Sorbitan Sesquioleate, Tocopherol, Limonene, Linoleic Acid, Citrus Aurantium Dulcis (Orange) Peel Oil, Myrtus Communis Leaf Extract, Olea Europaea (Olive) Leaf Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Oleic Acid, Helianthus Annuus (Sunflower) Seed Oil, Palmitic Acid, Aqua/Water/Eau, Stearic Acid, Fragrance* (Parfum), Linalool, Caprylic/Capric Triglyceride, Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil, Cymbopogon Nardus (Citronella) Oil, Moringa Oleifera Seed Oil, Jasminum Officinale (Jasmine) Flower Extract, Linolenic Acid, Litsea Cubeba Fruit Oil, Rosa Centifolia Flower Extract, Citrus Aurantium Amara (Bitter Orange) Flower Oil, Rosa Damascena Flower Oil. *100 % Natural Fragrance.",https://www.lookfantastic.com/espa-optimal-skin-cleansing-oil-195ml/12595827.html,Oils,4.0,2 Reviews
Clinique Take The Day Off Cleansing Oil 200ml,£27.00,,https://www.lookfantastic.com/clinique-take-the-day-off-cleansing-oil-200ml/11144732.html,Oils,4.55,95 Reviews
The Ordinary 100% Cold Pressed Virgin Marula Oil 30ml,£10.80,Sclerocarya Birrea Seed Oil.,https://www.lookfantastic.com/the-ordinary-100-cold-pressed-virgin-marula-oil-30ml/11416763.html,Oils,4.62,60 Reviews
DHC Deep Cleansing Oil (Various Sizes),£5.00,"Olea Europaea (Olive) Fruit Oil, Caprylic/Capric Triglyceride, Sorbeth-30 Tetraoleate, Pentylene Glycol, Phenoxyethanol, Tocopherol, Stearyl Glycyrrhetinate, Rosmarinus Officinalis (Rosemary) Leaf Oil.",https://www.lookfantastic.com/dhc-deep-cleansing-oil-various-sizes/11207442.html,Oils,4.5,469 Reviews
FaceGym Face Coach Lifting Q10 and Mastic Tree Enzymatically-activated Face Oil (Various Sizes),£30.00,"Squalane, Borago Officinalis (Borage) Seed Oil, Almond/Borage/Linseed/Olive Acids/Glycerides, Avena Sativa (Oat) Kernel Oil, Helianthus Annuus (Sunflower) Seed Oil, Plankton Extract, Crambe Abyssinica (Abyssinian) Seed Oil, Arnica Montana (Arnica) Flower, Rubus Idaeus (Raspberry) Seed Oil, Pistacia Lentiscus (Mastic) Gum, Beta-Carotene, Ubiquinone, Xanthophylls, Caprylic/Capric Triglyceride, Tocopheryl Acetate, Parfum (Fragrance), Tocopherol, Rosmarinus Officinalis (Rosemary) Leaf Extract.",https://www.lookfantastic.com/facegym-face-coach-lifting-q10-and-mastic-tree-enzymatically-activated-face-oil-various-sizes/13805250.html,Oils,4.78,9 Reviews
FaceGym Active Blast Instant Release Collagen Booster Spheres (Various Options),£55.00,"Sodium Hyaluronate, Sh-Polypeptide-123, Mannitol, Trehalose, Pullulan.",https://www.lookfantastic.com/facegym-active-blast-instant-release-collagen-booster-spheres-various-options/13798785.html,Oils,4.83,6 Reviews
The Ordinary 100% Organic Cold-Pressed Rose Hip Seed Oil 30ml,£9.70,Rosa Canina Seed Oil.,https://www.lookfantastic.com/the-ordinary-100-organic-cold-pressed-rose-hip-seed-oil-30ml/11363399.html,Oils,4.57,185 Reviews
Pai Skincare The Light Fantastic Cacao and Schisandra Ceramide Facial Oil 30ml,£44.00,"Helianthus Annuus Seed Oil* (Sunflower Oil), Carthamus Tinctorius Seed Oil* (Safflower Oil), Aleurites Moluccanus Seed Oil* (Kukui Oil), Vitis Vinifera Seed Oil* (Grape Seed Oil), Coconut Alkanes, Prunus Domestica Seed Oil* (Plum Oil), Caprylic/Capric Triglyceride, Schizandra Sphenanthera Fruit Extract (Magnolia Berry Extract), Theobroma Cacao Extract (Cocoa Extract), Tocopherol (Vitamin E), Water (Aqua), Beta-Sitosterol, Squalene, Glycolipids, Glycosphingolipids, Chamomilla Recutita Flower Extract* (Chamomile Extract Co2).",https://www.lookfantastic.com/pai-skincare-the-light-fantastic-cacao-and-schisandra-ceramide-facial-oil-30ml/12788339.html,Oils,4.75,4 Reviews
