Name,Price,Ingredients,Product_Link,Category,Rating,Total_Reviews
Neutrogena Hydro Boost Triple Micellar Water 400ml,£8.20,"[PR-019151] Aqua PEG-6 Caprylic/Capric, Glycerides, Polysorbate 20, Butylene Glycol, PEG-8, Sodium Hyaluronate, Poloxamer 407, Disodium EDTA, Citric Acid, BHT, Sodium Benzoate, Parfum.",https://www.lookfantastic.com/neutrogena-hydro-boost-triple-micellar-water-400ml/12062267.html,Micellar Water,3.5,6 Reviews
Bioderma Sensibio H2O Micellar Water for Sensitive Skin 850ml,£21.00,"Aqua/Water/Eau, Peg-6 Caprylic/Capric Glycerides, Fructooligosaccharides, Mannitol, Xylitol, Rhamnose, Cucumis Sativus (Cucumber) Fruit Extract, Propylene Glycol, Cetrimonium Bromide, Disodium Edta. [Bi 446].",https://www.lookfantastic.com/bioderma-sensibio-h2o-micellar-water-for-sensitive-skin-850ml/14265126.html,Micellar Water,4.86,59 Reviews
Bioderma Hydrabio H20 Micellar Water 500ml,£18.00,"Water (Aqua), Glycerin, Peg-6 Caprylic/Capric Glycerides, Polysorbate 20, Peg-40 Hydrogenated Castor Oil, Pyrus Malus (Apple) Fruit Extract, Rhamnose, Mannitol, Xylitol, Fructooligosaccharides, Propylene Glycol, Cucumis Sativus (Cucumber) Fruit Extract, Hexyldecanol, Sodium Hydroxide, Citric Acid, Niacinamide, Disodium EDTA, Cetrimonium Bromide, Fragrance (Parfum).",https://www.lookfantastic.com/bioderma-hydrabio-h20-micellar-water-500ml/11688482.html,Micellar Water,4.89,18 Reviews
Garnier Micellar Water Facial Cleanser For Sensitive Skin 100ml,£3.00,"Aqua / Water, Hexylene Glycol, Glycerin, Poloxamer 184, Disodium Cocoamphodiacetate, Disodium Edta, Myrtrimonium Bromide. (F.I.L. Z280823/1).",https://www.lookfantastic.com/garnier-micellar-water-facial-cleanser-for-sensitive-skin-100ml/11836595.html,Micellar Water,4.71,34 Reviews
Garnier Micellar Rose Water Cleanse & Glow 400ml,£6.99,"Aqua / Water, Hexylene Glycol, Glycerin, Rosa Damascena Flower Water, Ppg-26-Buteth-26, Peg-40 Hydrogenated Castor Oil, Arginine, Poloxamer 184, Disodium Cocoamphodiacetate, Disodium Edta, Propanediol, Citric Acid, Salicylic Acid, Myrtrimonium Bromide, Linalool, Limonene, Parfum / Fragrance (F.I.L B241612/0).",https://www.lookfantastic.com/garnier-micellar-rose-water-cleanse-glow-400ml/12492446.html,Micellar Water,4.85,62 Reviews
this works Evening Detox Cleansing Water 200ml,£18.70,"Aqua (Water/Eau), Poloxamer 184, Olive Oil PEG-7 Esters, PEG-40 Hydrogenated Castor Oil, Almond Oil PEG-8 Esters, Glycerin, Panthenol, Gluconolactone, Sodium Benzoate, Aloe Barbadensis Leaf Juice Powder, Cetrimonium Bromide, Dipotassium Glycyrrhizate, Disodium EDTA, Sodium Hyaluronate, Parfum (Fragrance), Geraniol*, Linalool*, BHT, Calcium Gluconate, Limonene*, Boswellia Carterii (Frankincense) Gum Oil, Cinnamomum Camphora (Camphor) Oil, Citrus Aurantium Amara (Bitter Orange) Leaf Oil, Cymbopogon Martini (Palmarosa) Oil, Eucalyptus Globulus Leaf Oil, Pogostemon Cablin (Patchouli) Oil.",https://www.lookfantastic.com/this-works-evening-detox-cleansing-water-200ml/11633015.html,Micellar Water,4.8,5 Reviews
Bioderma Sensibio Cleansing Micellar Water Sensitive Skin 100ml,£6.50,"Water (Aqua), Peg-6 Caprylic/Capric Glycerides, Propylene Glycol, Cucumis Sativus (Cucumber) Fruit Extract, Mannitol, Xylitol, Rhamnose, Fructooligosaccharides, Disodium Edta, Cetrimonium Bromide.",https://www.lookfantastic.com/bioderma-sensibio-cleansing-micellar-water-sensitive-skin-100ml/11450893.html,Micellar Water,4.8,104 Reviews
Garnier Micellar Water Oil Infused Facial Cleanser 400ml Duo Pack,£8.39,"Aqua / Water, Cyclopentasiloxane, Isohexadecane, Argania Spinosa Oil / Argania Spinosa Kernel Oil, Benzyl Alcohol, Benzyl Salicylate, Butyl Methoxydibenzoylmethane, Ci 60725 / Violet 2, Decyl Glucoside, Dipotassium Phosphate, Disodium Edta, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Geraniol, Haematococcus Pluvialis / Haematococcus Pluvialis Extract, Hexylene Glycol, Limonene, Linalool, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Polyaminopropyl Biguanide, Potassium Phosphate, Sodium Chloride, Parfum / Fragrance.",https://www.lookfantastic.com/garnier-micellar-water-oil-infused-facial-cleanser-400ml-duo-pack/12533044.html,Micellar Water,4.82,17 Reviews
Garnier Micellar Water with Vitamin C 400ml,£8.99,"Aqua / Water, Hexylene Glycol, Glycerin, Poloxamer 184,  Peg-40 Hydrogenated Castor Oil, Ascorbyl Glucoside, Disodium Cocoamphodiacetate, Disodium Edta, Myrtrimonium Bromide, Parfum / Fragrance (F.I.L. Z283390/1).",https://www.lookfantastic.com/garnier-micellar-water-with-vitamin-c-400ml/13422434.html,Micellar Water,4.8,5 Reviews
Uriage Thermal Micellar Water for Sensitive Skin 500ml,£15.94,"Aqua (Water, Eau), Polysorbate 20, Glycerin, Poloxamer 184, Caprylyl/Capryl Glucoside, Cetrimonium Bromide, Polyaminopropyl Biguanide, Parfum (Fragrance), Prunus Armeniaca (Apricot) Fruit Extract, Citric Acid, Ascorbic Acid.",https://www.lookfantastic.com/uriage-thermal-micellar-water-for-sensitive-skin-500ml/12087896.html,Micellar Water,5.0,1 Reviews
Garnier Micellar Water Facial Cleanser and Makeup Remover for Delicate Skin and Eyes 400ml,£8.99,"Aqua / Water, Cyclopentasiloxane, Isohexadecane, Centaurea Cyanus Flower Water, Potassium Phosphate, Sodium Chloride, Arginine, Coco-Betaine, Poloxamer 184, Dipotassium Phosphate, Disodium Edta, Propanediol, Citric Acid, Hexylene Glycol, Myrtrimonium Bromide, Ci 60725 / Violet 2, Ci 61565 / Green 6, Linalool, Geraniol, Limonene, Benzyl Alcohol, Benzyl Salicylate, Parfum / Fragrance.",https://www.lookfantastic.com/garnier-micellar-water-facial-cleanser-and-makeup-remover-for-delicate-skin-and-eyes-400ml/11850175.html,Micellar Water,4.73,22 Reviews
Garnier Micellar Water Facial Cleanser and Makeup Remover for Combination Skin 400ml,£7.99,"Aqua/Water, Hexylene Glycol, Glycerin, Alcohol Denat., Poloxamer 184, Polyaminopropyl Biguanide, Disodium Cocoamphodiacetate, Disodium EDTA.",https://www.lookfantastic.com/garnier-micellar-water-facial-cleanser-and-makeup-remover-for-combination-skin-400ml/11171651.html,Micellar Water,4.7,40 Reviews
"L'Oréal Paris Revitalift Filler Hyaluronic Serum, Day Cream and Micellar Water Bundle",£52.97,"Aqua / Water, Glycerin, Hexylene Glycol, Disodium Edta, Sodium Hyaluronate, Disodium Cocoampho- Diacetate, Poloxamer 184, Myrtrimonium Bromide. (F.I.L. B240692/0).",https://www.lookfantastic.com/l-oreal-paris-revitalift-filler-hyaluronic-serum-day-cream-and-micellar-water-bundle/12797818.html,Micellar Water,3.0,2 Reviews
SVR Sensifine AR Micellar Water - 400ml,£16.00,"Aqua (Purified Water), Propanediol, Peg-6 Caprylic/Capric Glycerides, Peg-7 Glyceryl Cocoate, Pentylene Glycol, Polysorbate 20, Niacinamide, 1,2-Hexanediol, Citric Acid, Sodium Hydroxide, Cetrimonium Bromide.",https://www.lookfantastic.com/svr-sensifine-ar-micellar-water-400ml/11643681.html,Micellar Water,4.0,2 Reviews
Bioderma Sébium Cleansing Micellar Water for Blemish-Prone Skin 250ml,£13.00,"Aqua/Water/Eau, Peg-6 Caprylic/Capric Glycerides, Sodium Citrate, Zinc Gluconate, Copper Sulfate, Ginkgo Biloba Leaf Extract, Mannitol, Xylitol, Rhamnose, Fructooligosaccharides, Propylene Glycol, Citric Acid, Disodium Edta, Cetrimonium Bromide, Fragrance (Parfum). [Bi 442].",https://www.lookfantastic.com/bioderma-sebium-cleansing-micellar-water-for-blemish-prone-skin-250ml/11450886.html,Micellar Water,4.45,11 Reviews
NUXE Very Rose 3-in-1 Soothing Micellar Water 200ml,£17.00,"Aqua/Water, Glycerin, Peg-6 Caprylic/Capric Glycerides, Pentylene Glycol, Rosa Damascena Flower Water, Parfum/Fragrance, Sodium Gluconate, Xylitylglucoside, Anhydroxylitol, Cetrimonium Bromide, Xylitol, Citric Acid, Sodium Hydroxide, Phenoxyethanol [N4106/A].",https://www.lookfantastic.com/nuxe-very-rose-3-in-1-soothing-micellar-water-200ml/12601902.html,Micellar Water,4.92,24 Reviews
Garnier Micellar Water Facial Cleanser Sensitive Skin 400ml Duo Pack,£7.19,"Aqua / Water, Hexylene Glycol, Glycerin, Disodium Cocoamphodiacetate, Disodium Edta, Poloxamer 184, Polyaminopropyl Biguanide Fil B162919/3.",https://www.lookfantastic.com/garnier-micellar-water-facial-cleanser-sensitive-skin-400ml-duo-pack/12533041.html,Micellar Water,4.88,95 Reviews
Maybelline Sky High Mascara and Garnier Micellar Water Set,£11.99,"Micellar: Aqua / Water, Hexylene Glycol, Glycerin, Disodium Cocoamphodiacetate, Disodium EDTA, Poloxamer 184, Polyaminopropyl Biguanide, (B162919/4).",https://www.lookfantastic.com/maybelline-sky-high-mascara-and-garnier-micellar-water-set/12961145.html,Micellar Water,4.91,11 Reviews
Garnier Micellar Water Oil Infused Facial Cleanser and Makeup Remover 400ml,£5.99,"Aqua / Water, Cyclopentasiloxane, Isohexadecane, Potassium Phosphate, Sodium Chloride, Hexylene Glycol, Dipotassium Phosphate, Disodium Edta, Decyl Glucoside, Polyaminopropyl Biguanide, Argania Spinosa Kerneloil, Limonene, Linalool, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Geraniol, Haematococcus Pluvialis Extract, Caprylic/Capric Triglyceride, Ci 60725 / Violet 2, Tocopherol, Parfum / Fragrance. (F.I.L. Z289832/1).",https://www.lookfantastic.com/garnier-micellar-water-oil-infused-facial-cleanser-and-makeup-remover-400ml/11299916.html,Micellar Water,4.67,88 Reviews
Garnier Vitamin C Micellar Water 700ml,£10.99,"Aqua / Water, Hexylene Glycol, Glycerin, Poloxamer 184,  Peg-40 Hydrogenated Castor Oil, Ascorbyl Glucoside, Disodium Cocoamphodiacetate, Disodium Edta, Myrtrimonium Bromide, Parfum / Fragrance (F.I.L. Z283390/1).",https://www.lookfantastic.com/garnier-vitamin-c-micellar-water-700ml/13942621.html,Micellar Water,4.7,20 Reviews
Caudalie Vinoclean Micellar Cleansing Water 200ml,£18.00,"Aqua/Water/Eau, Glycerin, Poloxamer 188, Vitis Vinifera (Grape) Fruit Water, Heptyl Glucoside, Capryl/Capramidopropyl Betaine, Sodium Levulinate, Sodium Anisate, Sodium Chloride, Chamomilla Recutita (Matricaria) Flower Extract, Citric Acid, Vitis Vinifera (Grape) Juice, Sodium Benzoate, Potassium Sorbate, Parfum (Fragrance).",https://www.lookfantastic.com/caudalie-vinoclean-micellar-cleansing-water-200ml/10579767.html,Micellar Water,5.0,13 Reviews
Bioderma Sensibio Cleansing Micellar Water Sensitive Skin 500ml,£18.00,"Water (Aqua), Peg-6 Caprylic/Capric Glycerides, Propylene Glycol, Cucumis Sativus (Cucumber) Fruit Extract, Mannitol, Xylitol, Rhamnose, Fructooligosaccharides, Disodium Edta, Cetrimonium Bromide.",https://www.lookfantastic.com/bioderma-sensibio-cleansing-micellar-water-sensitive-skin-500ml/11450895.html,Micellar Water,4.88,170 Reviews
CeraVe Micellar Cleansing Water with Niacinamide & Ceramides for All Skin Types 295ml,£13.00,"Aqua/ Water, Glycerine, Hexylene, Glycol, Poloxamer184, Disodium Cocoamphoacetate, Disodium EDTA, Niacinamide, Polyaminopropyl Biguanide, Sodium Lauroyl Lactylate, BHT, Ceramide NP, Phenoxyethanol, Ceramide AP, Phytosphingosine, Cholesterol, Xanthan Gum, Carbomer, Ethylhexylglycerin, Ceramide EOP.",https://www.lookfantastic.com/cerave-micellar-cleansing-water-with-niacinamide-ceramides-for-all-skin-types-295ml/13436008.html,Micellar Water,4.71,245 Reviews
Bioderma Pigmentbio Brightening Cleansing Micellar Water Anti-Dark Spot 250ml,£13.00,,https://www.lookfantastic.com/bioderma-pigmentbio-brightening-cleansing-micellar-water-anti-dark-spot-250ml/12520439.html,Micellar Water,4.38,13 Reviews
Garnier Micellar Water Facial Cleanser and Makeup Remover for Sensitive Skin 400ml,£7.99,"Aqua / Water, Hexylene Glycol, Glycerin, Poloxamer 184, Disodium Cocoamphodiacetate, Disodium Edta, Myrtrimonium Bromide. (F.I.L. Z280823/1).",https://www.lookfantastic.com/garnier-micellar-water-facial-cleanser-and-makeup-remover-for-sensitive-skin-400ml/11171628.html,Micellar Water,4.76,219 Reviews
Garnier Micellar Water Facial Cleanser and Makeup Remover for Sensitive Skin 700ml,£9.99,"Aqua / Water, Hexylene Glycol, Glycerin, Disodium Cocoamphodiacetate, Disodium EDTA, Poloxamer 184, Polyaminopropyl Biguanide, (B162919/4).",https://www.lookfantastic.com/garnier-micellar-water-facial-cleanser-and-makeup-remover-for-sensitive-skin-700ml/11919593.html,Micellar Water,4.86,248 Reviews
Garnier Micellar Water and Makeup Remover for Sensitive Skin Kit Exclusive (Worth £9.48),£9.48,,https://www.lookfantastic.com/garnier-micellar-water-and-makeup-remover-for-sensitive-skin-kit-exclusive/12313630.html,Micellar Water,4.69,29 Reviews
L'Oréal Paris Revitalift Filler [+ Hyaluronic Acid] Cleansing Micellar Water 200ml,£7.99,"Aqua / Water, Glycerin, Hexylene Glycol, Disodium Edta, Sodium Hyaluronate, Disodium Cocoampho- Diacetate, Poloxamer 184, Myrtrimonium Bromide. (F.I.L. B240692/0).",https://www.lookfantastic.com/l-oreal-paris-revitalift-filler-hyaluronic-acid-cleansing-micellar-water-200ml/12753474.html,Micellar Water,4.56,16 Reviews
ESPA Micellar Cleanser 200ml,£27.00,"Aqua (Water), Glycerin, Xylitylglucoside, Polysorbate 20, Phenoxyethanol, Anhydroxylitol, Coco-Glucoside, Sorbitol, Rosa Damascena Flower Water, Sodium Pca, Fragrance* (Parfum), Xylitol, Hamamelis Virginiana (Witch Hazel) Bark/Leaf/Twig Extract, Benzyl Alcohol, Allantoin, Sodium Hyaluronate, Ethylhexylglycerin, Glucose, Sodium Lactate, Hydroxyethylcellulose, Limonene, Geraniol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Cymbopogon Martini Oil, Pelargonium Graveolens Oil, Dehydroacetic Acid, Cananga Odorata Flower Oil, Eugenia Caryophyllus (Clove) Bud Oil, Caprylyl Glycol, Linalool, Lactic Acid, Eugenol, Caprylic/Capric Triglyceride, Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil, Citrus Aurantium Amara (Bitter Orange) Peel Oil, Illicium Verum (Anise) Fruit/Seed Oil, Litsea Cubeba Fruit Oil, Rosa Centifolia Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Citral, Citric Acid, Benzoic Acid, Anthemis Nobilis Flower Oil, Jasminum Officinale (Jasmine) Flower Extract, Rosa Damascena Flower Oil, Vanilla Planifolia Fruit Extract, Disodium Phosphate, Polysorbate 60, Sodium Phosphate.  ",https://www.lookfantastic.com/espa-purifying-micellar-cleanser/12226529.html,Micellar Water,4.76,29 Reviews
Caudalie Vinoclean Supersize Micellar Cleansing Water 400ml (Worth £30.00),£27.00,"Aqua/Water/Eau, Glycerin, Poloxamer 188, Vitis Vinifera (Grape) Fruit Water, Heptyl Glucoside, Capryl/Capramidopropyl Betaine, Sodium Levulinate, Sodium Anisate, Sodium Chloride, Chamomilla Recutita (Matricaria) Flower Extract, Citric Acid, Vitis Vinifera (Grape) Juice, Sodium Benzoate, Potassium Sorbate, Parfum (Fragrance).",https://www.lookfantastic.com/caudalie-vinoclean-supersize-micellar-cleansing-water-400ml/13207951.html,Micellar Water,4.62,21 Reviews
Biotherm Biosource Cleansing Micellar Water 200ml ,£24.00,"Aqua, Peg-7 Caprylic/Capric Glycerides, Poloxamer 184, Poloxamer 124, Peg-6 Caprylic/Capric Glycerides, Polysorbate 80, Sodium Benzoate, Disodium Edta, Tetrasodium Edta, Polyaminopropyl Biguanide, Lactobacillus Ferment, Magnesium Pca, Copper Pca, Zinc Pca, Vitreoscilla Ferment, Manganese Gluconate, Parfum, (F.I.L. B47690/2).",https://www.lookfantastic.com/biotherm-biosource-cleansing-micellar-water-200ml/13105686.html,Micellar Water,5.0,1 Reviews
NUXE Travel Size Very Rose 3-in-1 Soothing Micellar Water 100ml,£10.00,"Aqua/Water, Glycerin, Peg-6 Caprylic/Capric Glycerides, Pentylene Glycol, Rosa Damascena Flower Water, Parfum/Fragrance, Sodium Gluconate, Xylitylglucoside, Anhydroxylitol, Cetrimonium Bromide, Xylitol, Citric Acid, Sodium Hydroxide, Phenoxyethanol [N4106/A].",https://www.lookfantastic.com/nuxe-travel-size-very-rose-3-in-1-soothing-micellar-water-100ml/12918384.html,Micellar Water,"
                              4.9
                          ",10 Reviews
