Name,Price,Ingredients,Product_Link,Category,Rating,Total_Reviews
La Roche-Posay Toleriane Dermallergo Soothing Cream for Sensitive Skin 40ml,£23.00,"Aqua / Water, Isocetyl Stearate, Squalane, Butyrospermum Parkii Butter / Shea Butter, Dimethicone, Glycerin, Zea Mays Starch / Corn Starch, Pentylene Glycol, Butylene Glycol, Glyceryl Stearate, Peg-100 Stearate, Cetyl Alcohol, Salvia Miltiorrhiza Root Extract, Dimethiconol, Sodium Hydroxide, Sphingomonas Ferment Extract, Caprylyl Glycol, Citric Acid, Acetyl Dipeptide-1 Cetyl Ester, Acrylates/C10-30 Alkyl Acrylate Crosspolymer.",https://www.lookfantastic.com/la-roche-posay-toleriane-dermallergo-soothing-cream-for-sensitive-skin-40ml/12932546.html,Exfoliators,4.42,26 Reviews
Super Facialist Vitamin C+ Brighten Daily Gentle Micro Polish Wash - 125ml,£10.00,"Aqua (Water), Sodium Cocoamphoacetate, Cellulose Acetate, Glycerin, Coco-Glucoside, Betaine, Sodium Chloride, Maltodextrin, Parfum (Fragrance), Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tocopheryl Acetate, Limonene, Benzoic Acid, Ferulic Acid, Propylene Glycol, Dehydroacetic Acid, Alcohol, Punica Granatum Flower Extract, Sodium Ascorbyl Phosphate, Citral, Ethylhexylglycerin, Butylphenyl Methylpropional, Sodium Hydroxide, Glycyrrhiza Glabra (Licorice) Extract, Tromethamine.",https://www.lookfantastic.com/super-facialist-vitamin-c-brighten-daily-gentle-micro-polish-wash-125ml/13209622.html,Exfoliators,4.69,13 Reviews
Murad Clarifying Cleanser 200ml,£36.00,"Aqua, Cocamidopropyl Betaine,Sodium C14-16 Olefin Sulfonate, Salicylic Acid,Methyl Gluceth-20, PPG-26-Buteth-26,PEG-40 Hydrogenated Castor Oil, ButyleneGlycol, Cimicifuga Racemosa Root Extract,Camellia Oleifera Leaf Extract, Silver Citrate,Menthol, PEG-150 Distearate, Zea Mays(Corn) Starch, Hydrolyzed Corn Starch,Hydrolyzed Corn Starch Octenylsuccinate,Glyceryl Stearate, CocamidopropylDimethylamine, Polysorbate 80, Citric Acid,Disodium EDTA, Methylparaben, Limonene,Citrus Reticulata (Tangerine) Leaf Oil,Cymbopogon Nardus (Citronella) Oil, CitrusMedica Limonum (Lemon) Peel Oil, CitrusAurantifolia (Lime) Oil, Lavandula Hybrida Oil,Citrus Nobilis (Mandarin Orange) Peel Oil,Prunus Armeniaca (Apricot) Kernel Oil, Parfum.",https://www.lookfantastic.com/murad-clarifying-cleanser-200ml/10375510.html,Exfoliators,4.33,43 Reviews
Rodial Retinol Resurfacing Pads (50 Pads),£45.00,"Aqua (Water), Polysorbate 20, Glycerin, Butylene Glycol, Propylene Glycol, Sodium Benzoate, Potassium Sorbate, 1-Methylhydantoin-2-Imide, Disodium EDTA, Niacinamide, Panthenol, Sodium Sulfite, Parfum (Fragrance), Citric Acid, Lecithin, Retinol, Sodium Hyaluronate, Phenoxyethanol, Citronellol, Alpha-isomethyl Ionone, Limonene, Ethylhexylglycerin, BHT, BHA.",https://www.lookfantastic.com/rodial-retinol-resurfacing-pads-50-pads/13171074.html,Exfoliators,4.78,9 Reviews
OSKIA Micro Exfoliating Balm - 50ml,£56.00,"Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin, Sesamum Indicum (Sesame) Seed Oil, Decyl Oleate, Glyceryl Stearate, Caprylic/Capric Triglyceride, Methyl Sulphonyl Methane, Glyceryl Dibehenate, Silica, Tribehenin, Glyceryl Caprylate, Glyceryl Behenate, Helianthus Annuus (Sunflower) Seed Oil, Coco Glucoside, Butyrospermum Parkii (Shea Butter), Calendula Officinalis Flower Extract, Parfum (Fragrance), Mentha Piperita (Peppermint) Oil, Benzyl Alcohol, Zinc Glycine, Aqua (Water), Inulin, Alpha-Glucan Oligosaccharide, Aleurites Moluccana (Kukui) Seed Oil, Rosa Canina (Rose Hip) Seed Oil, Tocopherol, Dehydroacetic Acid, Citronellol, Geraniol.",https://www.lookfantastic.com/oskia-micro-exfoliating-balm-50ml/10538952.html,Exfoliators,4.82,11 Reviews
NYX Professional Makeup This is Everything Lip Scrub,£6.00,"Erythritol, Petrolatum, Ethylhexyl Palmitate, Mineral Oil/Paraffinum Liquidum/Huile Minérale, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Tocopherol, Tocopheryl Acetate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Phenoxyethanol, Fragrance/Parfum, Eugenol, Hydroxycitronellal, Benzyl Alcohol, Benzyl Salicylate. MAY CONTAIN / PEUT CONTENIR (+/-): Red 28 Lake (CI 45410).",https://www.lookfantastic.com/nyx-professional-makeup-this-is-everything-lip-scrub/12010835.html,Exfoliators,4.24,17 Reviews
Frank Body Coconut Coffee Scrub 200g,£11.19,"Coffea Robusta Seed Powder (Coffee), Water (Aqua), Vitis Vinifera (Grape) Seed Oil, Olus (Vegetable) Oil, Cocos Nucifera (Coconut) Fruit, Cocos Nucifera (Coconut) Oil, Sodium Chloride (Salt), Sucrose (Brown Sugar), Jojoba Esters, Fragrance (Parfum) Tocopherol, (Vitamin E), Glycine Soja (Soybean) Oil, Benzyl Alcohol (Cinnamon Derived). Total Naturally Derived: 99%. Nut free.",https://www.lookfantastic.com/frank-body-coconut-coffee-scrub-200g/11771304.html,Exfoliators,4.53,34 Reviews
StriVectin Pro GlowFoliant Mix-In Microderm Crystals 36g,£34.65,"Alumina, Propylene Glycol, Glycerin, Aqua/Water/Eau, Decyl Glucoside, Myristyl Nicotinate, Diamond Powder, Mandelic Acid, Lactic Acid, Linoleic Acid, Linolenic Acid, Chondrus Crispus Extract, Saccharomyces/Copper Ferment, Saccharomyces/ Silicon Ferment, Zinc Gluconate, Copper Gluconate, Magnesium Aspartate, Polysorbate 20, Pentylene Glycol, Propanediol, Sodium Oxide, Tocopherol, Chlorphenesin, Silica, Sodium Dehydroacetate, Phenethyl Alcohol, Citric Acid, Phenoxyethanol, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides) [ILN 38871].",https://www.lookfantastic.com/strivectin-pro-glowfoliant-mix-in-microderm-crystals-36g/13526959.html,Exfoliators,5.0,1 Reviews
Dermalogica Hydroexfoliant 50ml,£65.00,"Water/Aqua/Eau, Glycerin, Behenyl Alcohol, Sorbitol, Caprylic/Capric Triglyceride, Hydroxyethyl Urea, Propanediol, Cetyl Ethylhexanoate, Cetyl Alcohol, Glyceryl Stearate, Carthamus Tinctorius(Safflower) Oleosomes, Hydrolyzed Jojoba Esters, Betaine, Bambusa Arundinacea Stem Extract, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Corallina Officinalis Extract, Cucumis Sativus (Cucumber) Fruit Extract, CocciniaIndica Fruit Extract, Acacia Decurrens Extract, Ricinus Communis(Castor) Seed Oil, Aloe Barbadensis Flower Extract, Solanum Melongena(Eggplant) Fruit Extract, Averrhoa Carambola Fruit Extract, Nephelium Lappaceum Branch/Fruit/Leaf Extract, Saccharomyces/Xylinum/Black Tea Ferment, Spirulina Maxima Extract, Tremella Fuciformis Extract, Viola Odorata Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Ocimum Basilicum(Basil) Flower/Leaf Extract, Ocimum Sanctum Leaf Extract, Bacillus Ferment, Sodium Hyaluronate, Triethyl Citrate, PEG-75 Stearate, Pentylene Glycol, Xanthan Gum, Phytosteryl Oleate, 1,2-Hexanediol, Ceteth-20, Steareth-20, C12-13 Pareth-3, Caprylyl Glycol, Titanium Dioxide, Lactic Acid, Butylene Glycol, Phenylpropanol, Ethylhexylglycerin, Calcium Alginate, Jojoba Esters, Aminomethyl Propanol, Polyquaternium-10, Citric Acid, Dipotassium Glycyrrhizate, Gluconic Acid, Biosaccharide Gum-4, Phytosterols, Sodium Benzoate, Xylitol, 3-Hexenol, Sodium Acetate, Sodium Chloride, Isopropyl Alcohol, Caprylhydroxamic Acid.",https://www.lookfantastic.com/dermalogica-hydroexfoliant-50ml/12608234.html,Exfoliators,5.0,1 Reviews
Antipodes Reincarnation Pure Facial Exfoliator 75ml,£17.60,"Aqua (Water), Prunus Armeniaca (Apricot) Kernel Oil, Glycerine, Cetearyl Glucoside, Cetearyl Alcohol, Titanium Dioxide, Persea Gratissima (Avocado Pear) Oil, Glyceryl Stearate, Simmondsia Chinensis (Jojoba) Esters, Kaolin, Calendula Officinalis (Calendula/Marigold) Flower Oil, Dehydroacetic Acid, Benzyl Alcohol, Daucus Carota (Carrot) Seed Oil, Tocopherol (Vitamin E), Helianthus Annuus (Sunflower) Seed Oil, Vitis Vinifera (Grape) Seed Extract, (Vinanza® Grape). Fragrance of Cedarwood & Sweet Orange: Citral, Citrinellol, D-Limonene, Geraniol, Linalool.",https://www.lookfantastic.com/antipodes-reincarnation-pure-facial-exfoliator-75ml/10366538.html,Exfoliators,4.31,13 Reviews
