Name,Price,Ingredients,Product_Link,Category,Rating,Total_Reviews
Perricone MD Cold Plasma Plus+ Hydrating Sheet Mask 6-pack (Worth £108),£34.40,"Water/ Aqua/Eau, Glycerin, Isosorbide Dicaprylate, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Glyceryl Stearate SE, Shea Butter Ethyl Esters, Phenethyl Alcohol, Xanthan Gum, Butylene Glycol, Caprylhydroxamic Acid, Polysorbate 20, Dimethyl Isosorbide, Copper Tripeptide-1, Phosphatidylcholine, Tetrahexyldecyl Ascorbate, Citric Acid, Dimethyl MEA, Carbomer, Sodium Lactate, Helianthus Annuus (Sunflower) Seed Oil, Sodium Benzoate, Tyrosine, Sodium Hyaluronate, Phenoxyethanol, Caprylyl Glycol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Acetyl Hexapeptide-8, Potassium Sorbate, Hydrolyzed Myrtus Communis Leaf Extract, Hexylene Glycol, Acetyl Tetrapeptide-11, Acetyl Tetrapeptide-9, Palmitoyl Tripeptide-1, Tocopherol, Palmitoyl Tetrapeptide-7, Ascorbyl Palmitate, Ethylhexylglycerin. 11759-1.01.",https://www.lookfantastic.com/perricone-md-cold-plasma-plus-hydrating-sheet-mask-bb-masks-edit-job/13304095.html,Masks,4.55,11 Reviews
FOREO Make My Day UFO/UFO Mini Anti-Pollution and so Hydrating Face Mask (7 Pack),£10.99,"Aqua (Water), Methylpropanediol, Glycerin, 1,2-Hexanediol, Panthenol, Hydroxyacetophenone, Betaine, Brassica Oleracea Italica (Broccoli) Sprout Extract, Gelidium Cartilagineum Extract, Hydroxyethyl Acrlate/Sodium Acryloyldimethleaurate Copolymer, Carbomer, Arginine, Hydroxyethyl Cellulose, Sodium Hyaluronate, Sodium Acetylated Hyaluronate, Hydrolyzed Hyaluronic Acid, Parfum (Fragrance).",https://www.lookfantastic.com/foreo-make-my-day-ufo-ufo-mini-anti-pollution-and-so-hydrating-face-mask-7-pack/11740180.html,Masks,4.84,61 Reviews
PIXI GLOW Glycolic Acid Boost Sheet Mask (Pack of 3),£10.00,"Aqua/Water/Eau, Dipropylene Glycol, Glycerin, Glycolic Acid, Red Ginseng Extract, Aloe Arborescens Leaf Extract, Panax Ginseng Callus Culture Extract, Camellia Sinensis Leaf Extract, Cucumis Sativus (Cucumber) Extract, Castanea Sativa (Chestnut) Seed Extract, Dioscorea Japonica Root Extract, Ocimum Basilicum (Basil) Seed Extract, Hamamelis Virginiana (Witch Hazel) Extract, Morus Alba Bark Extract, Asiaticoside, Coix Lacryma-Jobi Ma-yuen Seed Extract, Illicium Verum (Anise) Fruit Extract, Trehalose, 1,2-Hexanediol, Propanediol, Caprylyl Glycol, Ethylhexylglycerin, Potassium Hydroxide, Xanthan Gum, Butylene Glycol, Disodium EDTA.",https://www.lookfantastic.com/pixi-glow-glycolic-acid-boost-sheet-mask-pack-of-3/12040118.html,Masks,4.83,109 Reviews
BeautyPro Rejuvenating Collagen Sheet Mask with Green Tea Extract,£4.95,"Key Ingredients: Marine Collagen, Green Tea Extract, Seaweed Extract, Boswellia Serrata Plant Extract, Pomegranate, Witch Hazel.",https://www.lookfantastic.com/beautypro-rejuvenating-collagen-sheet-mask-with-green-tea-extract/11432734.html,Masks,4.58,26 Reviews
BeautyPro Cica and Niacinamide Face Mask 22ml,£4.95,"Centella Asiatica Extract, Glycerin, Pentylene Glycol, Niacinamide, Hibiscus Esculentus Fruit Extract, Dioscorea Oppositifolia (Wild Yam) Root Extract, Lavandula Angustifolia (Lavender) Oil, Linum Usitatissimum (Linseed) Seed Extract, Salvia Hispanica Seed Extract, Decyl Glucoside, Linalool.",https://www.lookfantastic.com/beautypro-cica-and-niacinamide-face-mask-22ml/13884310.html,Masks,4.57,7 Reviews
Kiehl's Midnight Recovery Concentrate (Various Sizes),£49.00,"Caprylic/Capric Triglyceride, Dicaprylyl Carbonate, Squalane, Rosa Canina Fruit Oil, Oenothera Biennis Oil/Evening Primrose Oil, Simmondsia Chinensis Oil/Jojoba Seed Oil, Coriandrum Sativum Oil/Coriander Seed Oil, Tocopherol, Lavandula Angustifolia Oil/Lavender Oil, Pelargonium Graveolens Flower Oil, Linalool, Rosmarinus Officina-Lis Leaf Oil/Rosemary Leaf Oil, Citronellol, Geraniol, Lavandula Hybrida Oil, Cucumis Sativus Extract/Cucumber Fruit Extract, Curcuma Longa Extract/Turmeric Root Extract, Limonene, Citral, Sclareolide, Rosa Spp/Rose Flower Oil, Jasminum Officinale Extract/Jasmine Extract, Helianthus Annuus Seed Oil/Sunflower Seed Oil.",https://www.lookfantastic.com/kiehl-s-midnight-recovery-concentrate-various-sizes/12916110.html,Masks,4.76,91 Reviews
Eucerin Hyaluron-Filler Sheet Mask,£6.75,"Aqua, Glycerin, Pentylene Glycol, Sodium Hyaluronate, Xanthan Gum, Polysorbate 20, Tetrasodium Glutamate Diacetate, Citric Acid, Sodium Hydroxide, Phenoxyethanol, Parfum.",https://www.lookfantastic.com/eucerin-hyaluron-filler-sheet-mask/12510293.html,Masks,4.88,26 Reviews
Versed Doctor's Visit Instant Resurfacing Mask,£16.50,"Water/Aqua/EauGlycerinPolyacrylate Crosspolymer-6PropanediolLactic AcidGlycolic AcidLactobacillus/Papaya Fruit Ferment ExtractAnanas Sativus (Pineapple) Fruit ExtractSalicylic AcidMelia Azadirachta Leaf ExtractEvodia Rutaecarpa Fruit ExtractMelia Azadirachta Flower ExtractCurcuma Longa (Turmeric) Root ExtractLactobacillus FermentLeuconostoc/Radish Root Ferment FiltrateOcimum Basilicum (Basil) Flower/Leaf ExtractOcimum Sanctum Leaf ExtractCorallina Officinalis ExtractPotassium Hydroxide1,2-HexanediolCaprylhydroxamic AcidT-Butyl Alcohol.",https://www.lookfantastic.com/versed-doctor-s-visit-instant-resurfacing-mask/13314015.html,Masks,4.61,38 Reviews
Dr.Jart+ Cicapair Sleepair Intensive Mask 30ml,£15.30,"Aqua, Dipropylene Glycol, Propanediol, Glycerin, Caprylyl Methicone, 1,2-Hexanediol, Niacinamide, Trehalose, Vinyl Dimethicone, Butylene Glycol, Eryngium Maritimum Callus Culture Filtrate, Dimethiconol, Houttuynia Cordata Extract, Ilex Aquifolium Leaf Extract, Cetyl Dimethicone, Chondrus Crispus Extract, Achillea Millefolium Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyvinyl Alcohol, Saccharum Officinarum Extract, Tromethamine, Caprylyl Glycol, Dehydroxanthan Gum, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, Hedera Helix Extract, Streptococcus Thermophilus Ferment, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Adenosine, Disodium EDTA, Sorbitan Oleate, Caprylyl/Capryl Glucoside, Panthenol, Fusidium Coccineum Ferment Filtrate, Madecassoside, Curcuma Longa Root Extract, Ocimum Sanctum Leaf Extract, Ethylhexylglycerin, Coccinia Indica Fruit Extract, DNA, Amber Powder, Solanum Melongena Fruit Extract, Dextrin, Theobroma Cacao Seed Extract, Corallina Officinalis Extract, Moringa Oleifera Seed Oil, Asiaticoside, Methylpropanediol, Centella Asiatica Leaf Extract, Bamboo Vinegar, Asiatic Acid.",https://www.lookfantastic.com/dr.jart-cicapair-sleepair-intensive-mask-30ml/12624687.html,Masks,4.42,38 Reviews
Dr.Jart+ Dermask Water Jet Vital Hydra Solution 27g,£6.50,"Water, Glycerin, Butylene Glycol, Alcohol, Panthenol, Betaine, Xylitylglucoside, Anhydroxylitol, Xylitol, Hydrolyzed Hyaluronic Acid, Algae Extract, Laminaria Japonica Extract, Chlorphenesin, Hydroxyethylcellulose, Disodium EDTA, Xanthan Gum, PEG-60 Hydrogenated Castor Oil, Glycyrrhiza Glabra (Licorice) Root Extract, Zingiber Officinale (Ginger) Root Extract, Schizandra Chinensis Fruit Extract, Coptis Japonica Root Extract, Camellia Sinensis Leaf Extract, Caprylyl Glycol, 1,2-Hexanediol, Dipotassium Glycyrrhizate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Carbomer, Arginine, Citrus Grandis (Grapefruit) Seed Extract, Acorus Calamus Root Extract, Perilla Ocymoides Leaf Extract, Cyclopentasiloxane, Cyclohexasiloxane, PEG-10 Dimethicone/Vinyl Dimethicone Crosspolymer, Pelargonium Graveolens Flower Oil.",https://www.lookfantastic.com/dr.jart-dermask-water-jet-vital-hydra-solution-27g/12099675.html,Masks,4.86,35 Reviews
